iter	Passed	Remaining
0	3	717
1	6	657
2	9	631
3	12	623
4	16	637
5	19	640
6	22	632
7	25	618
8	28	612
9	32	610
10	35	607
11	38	602
12	41	596
13	45	600
14	48	598
15	51	593
16	53	577
17	56	569
18	59	565
19	62	561
20	65	556
21	68	552
22	71	547
23	75	551
24	78	548
25	81	545
26	84	540
27	87	535
28	90	534
29	93	532
30	97	529
31	100	525
32	103	521
33	106	521
34	110	519
35	113	516
36	116	512
37	119	508
38	122	505
39	125	501
40	128	498
41	131	496
42	135	496
43	139	492
44	141	488
45	144	485
46	148	482
47	151	479
48	154	477
49	158	475
50	162	473
51	165	470
52	168	467
53	172	465
54	175	462
55	178	459
56	183	459
57	186	457
58	190	454
59	193	451
60	198	451
61	201	449
62	205	445
63	208	442
64	212	441
65	215	438
66	219	435
67	222	432
68	226	429
69	229	425
70	232	422
71	235	419
72	238	415
73	242	412
74	245	408
75	248	405
76	252	402
77	255	399
78	258	396
79	262	393
80	265	390
81	269	387
82	272	384
83	276	381
84	279	377
85	282	374
86	286	372
87	289	368
88	293	365
89	296	362
90	300	359
91	303	356
92	307	353
93	310	350
94	313	347
95	317	344
96	321	341
97	324	337
98	328	334
99	331	331
100	335	328
101	338	325
102	342	322
103	345	319
104	349	315
105	352	312
106	356	309
107	359	306
108	363	303
109	366	299
110	369	296
111	373	293
112	376	290
113	380	286
114	383	283
115	387	280
116	390	276
117	394	273
118	397	270
119	400	267
120	404	264
121	407	260
122	411	257
123	415	254
124	418	251
125	422	248
126	426	245
127	429	241
128	433	238
129	437	235
130	440	232
131	444	228
132	447	225
133	451	222
134	454	219
135	458	215
136	461	212
137	465	208
138	468	205
139	472	202
140	475	199
141	478	195
142	482	192
143	486	189
144	489	185
145	492	182
146	496	178
147	499	175
148	503	172
149	506	168
150	509	165
151	513	162
152	516	158
153	520	155
154	523	152
155	527	148
156	530	145
157	534	141
158	537	138
159	541	135
160	544	131
161	548	128
162	551	125
163	554	121
164	558	118
165	561	115
166	565	111
167	568	108
168	573	105
169	577	101
170	580	98
171	583	95
172	587	91
173	591	88
174	594	84
175	597	81
176	601	78
177	605	74
178	608	71
179	612	68
180	615	64
181	619	61
182	622	57
183	625	54
184	629	51
185	632	47
186	636	44
187	639	40
188	642	37
189	646	34
190	650	30
191	653	27
192	657	23
193	660	20
194	663	17
195	667	13
196	670	10
197	673	6
198	676	3
199	680	0
