Model_A,Model_B,N_test,Both_correct,A_correct_B_wrong,A_wrong_B_correct,Both_wrong,Discordant_pairs,Accuracy_A,Accuracy_B,Accuracy_difference_A_minus_B,P_exact,P_Holm,Alpha,Significant_Holm
Logistic Regression,Decision Tree,570,461,19,54,36,73,0.8421052631578947,0.9035087719298246,-0.06140350877192982,5.0622659111780655e-05,0.00040498127289424524,0.05,True
Logistic Regression,Random Forest,570,475,5,63,27,68,0.8421052631578947,0.9438596491228071,-0.10175438596491228,7.651062942926057e-14,9.181275531511268e-13,0.05,True
Logistic Regression,XGBoost,570,473,7,76,14,83,0.8421052631578947,0.9631578947368421,-0.12105263157894737,9.43054794183671e-16,1.4145821912755066e-14,0.05,True
Logistic Regression,LightGBM,570,473,7,75,15,82,0.8421052631578947,0.9614035087719298,-0.11929824561403508,1.7292396771428031e-15,2.4209355479999244e-14,0.05,True
Logistic Regression,CatBoost,570,473,7,71,19,78,0.8421052631578947,0.9543859649122807,-0.11228070175438597,1.933200757632093e-14,2.513160984921721e-13,0.05,True
Decision Tree,Random Forest,570,507,8,31,24,39,0.9035087719298246,0.9438596491228071,-0.04035087719298246,0.0002940768754342571,0.0020585381280397996,0.05,True
Decision Tree,XGBoost,570,509,6,40,15,46,0.9035087719298246,0.9631578947368421,-0.05964912280701754,3.1028037028590916e-07,3.1028037028590916e-06,0.05,True
Decision Tree,LightGBM,570,510,5,38,17,43,0.9035087719298246,0.9614035087719298,-0.05789473684210526,2.4995097192004323e-07,2.7494606911204755e-06,0.05,True
Decision Tree,CatBoost,570,505,10,39,16,49,0.9035087719298246,0.9543859649122807,-0.05087719298245614,3.845911694355664e-05,0.00034613205249200973,0.05,True
Random Forest,XGBoost,570,533,5,16,16,21,0.9438596491228071,0.9631578947368421,-0.01929824561403509,0.02660369873046875,0.1596221923828125,0.05,False
Random Forest,LightGBM,570,533,5,15,17,20,0.9438596491228071,0.9614035087719298,-0.017543859649122806,0.04138946533203125,0.20694732666015625,0.05,False
Random Forest,CatBoost,570,528,10,16,16,26,0.9438596491228071,0.9543859649122807,-0.010526315789473684,0.32693958282470703,1.0,0.05,False
XGBoost,LightGBM,570,547,2,1,20,3,0.9631578947368421,0.9614035087719298,0.0017543859649122807,1.0,1.0,0.05,False
XGBoost,CatBoost,570,540,9,4,17,13,0.9631578947368421,0.9543859649122807,0.008771929824561403,0.266845703125,1.0,0.05,False
LightGBM,CatBoost,570,540,8,4,18,12,0.9614035087719298,0.9543859649122807,0.007017543859649123,0.3876953125,1.0,0.05,False
